DesignInFile,mainFeature,targetLibrary,techFeature,techSubFeature,process,VTfeature,techModel,thresModel,voltage,temperature,period,mapped.area-Number of ports,mapped.area-Number of cells,mapped.area-Number of combinational cells,mapped.area-Number of sequential cells,mapped.area-Number of macros/black boxes,mapped.area-Number of buf/inv,mapped.area-Number of references,mapped.area-Combinational area,mapped.area-Buf/Inv area,mapped.area-Noncombinational area,mapped.area-Macro/Black Box area,mapped.area-Net Interconnect area,mapped.area-Total cell area,mapped.area-Total area,mapped.power-Cell Internal Power,mapped.power-Net Switching Power,mapped.power-Total Dynamic Power,mapped.power-Total,mapped.power-Cell Leakage Power,mapped.power-io_pad,mapped.power-memory,mapped.power-black_box,mapped.power-clock_network,mapped.power-register,mapped.power-sequential,mapped.power-combinational,mapped.timing-data arrival time,mapped.timing-data required time,mapped.timing-slack
Dedicated_PE_Hw_Dedicated_PE_Hw_190402_220023,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,998,837,807,12,0,291,23,447.859999,69.579999,18.816000,0.000000,,466.675999,,135.3086,51.8918,187.2004,0.1876,353.9869,0.0000,0.0000,0.0000,0.0000,-02,0.0000,0.1257,-0.06,0.79,0.73
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_114455,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1047,2152,1983,159,0,334,29,885.527994,78.497999,249.311993,0.000000,,1134.839987,,921.8992,95.0044,1.0169,1.0177,830.3138,0.0000,0.0000,0.0000,0.0000,0.8202,0.0000,0.1976,-0.74,0.79,0.05
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_121815,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1059,6009,4520,1479,0,567,29,2208.331989,115.541997,2319.071939,0.000000,,4527.403929,,7.6076,380.0285,7.9876,7.9914,3.7684,0.0000,0.0000,0.0000,0.0000,7.3663,0.0000,0.6251,-0.62,0.79,0.17
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_115732,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1055,3384,2679,695,0,498,29,1305.457995,99.763998,1089.759971,0.000000,,2395.217967,,3.7284,320.5586,4.0489,4.0509,1.9485,0.0000,0.0000,0.0000,0.0000,3.5458,0.0000,0.5051,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_122554,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1181,2309,2133,162,0,349,30,933.645994,81.731999,254.015993,0.000000,,1187.661987,,940.8884,99.2092,1.0401,1.0410,871.6545,0.0000,0.0000,0.0000,0.0000,0.8355,0.0000,0.2054,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_114128,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,980,2217,2049,159,0,437,31,848.679994,98.881998,249.311993,0.000000,,1097.991988,,935.9760,99.3388,1.0353,1.0362,857.6930,0.0000,0.0000,0.0000,0.0000,0.8202,0.0000,0.2160,-0.75,0.79,0.04
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_122137,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,913,2016,1849,159,0,375,28,785.077996,86.631999,249.311993,0.000000,,1034.389989,,913.6437,83.5803,997.2241,0.9980,801.5640,0.0000,0.0000,0.0000,0.0000,0.8203,0.0000,0.1778,-0.77,0.79,0.01
Router_Hw_Router_Hw_190402_220943,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1122,10705,9065,1594,0,840,45,4390.302006,164.835996,2500.175935,0.000000,,6890.477941,,8.4849,310.1049,8.7950,8.8002,5.2122,0.0000,0.0000,0.0000,0.0000,8.2180,0.0000,0.5822,-0.76,0.79,0.03
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_115607,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1055,3689,2983,695,0,681,30,1341.129995,141.805997,1089.759971,0.000000,,2430.889967,,3.7480,335.9762,4.0840,4.0860,2.0219,0.0000,0.0000,0.0000,0.0000,3.5452,0.0000,0.5408,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_121518,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,992,6116,4627,1479,0,688,29,2182.851990,145.627997,2319.071939,0.000000,,4501.923930,,7.6032,376.6200,7.9798,7.9836,3.7882,0.0000,0.0000,0.0000,0.0000,7.3653,0.0000,0.6184,-0.62,0.79,0.17
