DesignInFile,mainFeature,targetLibrary,techFeature,techSubFeature,process,VTfeature,techModel,thresModel,voltage,temperature,period,mapped.area-Number of ports,mapped.area-Number of cells,mapped.area-Number of combinational cells,mapped.area-Number of sequential cells,mapped.area-Number of macros/black boxes,mapped.area-Number of buf/inv,mapped.area-Number of references,mapped.area-Combinational area,mapped.area-Buf/Inv area,mapped.area-Noncombinational area,mapped.area-Macro/Black Box area,mapped.area-Net Interconnect area,mapped.area-Total cell area,mapped.area-Total area,mapped.power-Cell Internal Power,mapped.power-Net Switching Power,mapped.power-Total Dynamic Power,mapped.power-Total,mapped.power-Cell Leakage Power,mapped.power-io_pad,mapped.power-memory,mapped.power-black_box,mapped.power-clock_network,mapped.power-register,mapped.power-sequential,mapped.power-combinational,mapped.timing-data arrival time,mapped.timing-data required time,mapped.timing-slack
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_171305,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,990,13879,10961,2907,0,1162,43,5172.831975,230.887994,4558.175881,0.000000,,9731.007856,,15.2745,565.8084,15.8403,15.8479,7.7541,0.0000,0.0000,0.0000,0.0000,14.8792,0.0000,0.9687,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_143233,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1053,7113,5756,1346,0,610,38,2773.399978,127.105997,2110.527945,0.000000,,4883.927923,,7.3217,362.5418,7.6842,7.6881,3.9693,0.0000,0.0000,0.0000,0.0000,6.9960,0.0000,0.6921,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_091828,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,923,10571,8076,2487,0,691,41,4037.991985,139.257997,3899.615898,0.000000,,7937.607883,,13.0089,524.3340,13.5332,13.5395,6.3300,0.0000,0.0000,0.0000,0.0000,12.6571,0.0000,0.8824,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_035252,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1124,9777,7478,2286,0,625,40,3734.877984,126.419997,3584.447906,0.000000,,7319.325890,,11.9580,506.9260,12.4650,12.4707,5.8394,0.0000,0.0000,0.0000,0.0000,11.6215,0.0000,0.8493,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_154936,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,846,11620,9504,2109,0,1027,47,4407.549973,218.735996,3306.911914,0.000000,,7714.461886,,11.1740,295.0831,11.4691,11.4749,6.0311,0.0000,0.0000,0.0000,0.0000,10.8743,0.0000,0.6006,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_163428,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1191,14777,11596,3167,0,1515,44,5521.613984,313.207993,4965.855870,0.000000,,10487.469854,,16.6181,626.6290,17.2447,17.2531,8.5634,0.0000,0.0000,0.0000,0.0000,16.1651,0.0000,1.0880,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_130213,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1047,2695,2393,290,0,479,31,1056.831992,119.363999,454.719988,0.000000,,1511.551981,,1.6222,113.8383,1.7360,1.7372,1.1513,0.0000,0.0000,0.0000,0.0000,1.4956,0.0000,0.2416,-0.78,0.79,0.01
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_123045,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1120,2927,2482,432,0,337,31,1131.997990,67.129998,677.375982,0.000000,,1809.373973,,2.5301,280.4060,2.8105,2.8121,1.5952,0.0000,0.0000,0.0000,0.0000,2.2869,0.0000,0.5252,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_161435,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1055,13377,10722,2645,0,1472,47,5008.387982,290.863993,4147.359892,0.000000,,9155.747873,,13.9862,555.5718,14.5418,14.5490,7.3977,0.0000,0.0000,0.0000,0.0000,13.6004,0.0000,0.9486,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_031331,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,992,11015,8458,2548,0,774,39,4127.563976,156.309996,3995.263896,0.000000,,8122.827872,,13.2144,500.8752,13.7153,13.7217,6.4979,0.0000,0.0000,0.0000,0.0000,12.8773,0.0000,0.8445,-0.65,0.79,0.14
